Date : 2026-05-31 09:16:57
Directory : /home/developer/projects/open-navigator
Total : 1886 files,  -6270 codes, -2355 comments, -1547 blanks, all -10172 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| scripts/datasources/parcels                                                                                                                              |         11 |     -1,165 |        -97 |       -223 |     -1,485 |
| scripts/datasources/parcels (Files)                                                                                                                      |          9 |     -1,148 |        -97 |       -221 |     -1,466 |
| scripts/datasources/parcels/seeds                                                                                                                        |          2 |        -17 |          0 |         -2 |        -19 |
| scripts/datasources/powerbi_ballot_measures                                                                                                              |          2 |       -368 |        -47 |        -57 |       -472 |
| scripts/datasources/uscm                                                                                                                                 |          6 |       -598 |        -78 |       -139 |       -815 |
| scripts/deployment                                                                                                                                       |        114 |     -7,224 |     -1,997 |     -1,630 |    -10,851 |
| scripts/deployment/neon                                                                                                                                  |        114 |     -7,224 |     -1,997 |     -1,630 |    -10,851 |
| scripts/deployment/neon (Files)                                                                                                                          |         19 |     -3,025 |       -798 |       -709 |     -4,532 |
| scripts/deployment/neon/migrations                                                                                                                       |         95 |     -4,199 |     -1,199 |       -921 |     -6,319 |
| scripts/development                                                                                                                                      |          4 |       -303 |        -66 |        -77 |       -446 |
| scripts/discovery                                                                                                                                        |          3 |       -775 |       -140 |       -139 |     -1,054 |
| scripts/discovery (Files)                                                                                                                                |          1 |          5 |          4 |          3 |         12 |
| scripts/discovery/archive                                                                                                                                |          2 |       -780 |       -144 |       -142 |     -1,066 |
| scripts/eboard                                                                                                                                           |          4 |        303 |         66 |         77 |        446 |
| scripts/examples                                                                                                                                         |          2 |       -319 |        -27 |        -56 |       -402 |
| scripts/extraction                                                                                                                                       |          6 |      1,615 |        795 |        330 |      2,740 |
| scripts/gemini                                                                                                                                           |         31 |    -10,105 |     -1,563 |     -1,324 |    -12,992 |
| scripts/huggingface                                                                                                                                      |         22 |     -2,823 |       -789 |       -699 |     -4,311 |
| scripts/migrations                                                                                                                                       |          1 |         12 |         22 |          5 |         39 |
